temp_bin,rainfall_bin,height_bin,count
"(4.0, 8.0]","(4.5, 5.0]","(600.0, 800.0]",21
"(4.0, 8.0]","(4.5, 5.0]","(800.0, 1000.0]",50
"(4.0, 8.0]","(4.5, 5.0]","(1000.0, 1200.0]",56
"(4.0, 8.0]","(4.5, 5.0]","(1400.0, 1600.0]",9
"(4.0, 8.0]","(4.5, 5.0]","(1600.0, 1800.0]",9
"(4.0, 8.0]","(4.5, 5.0]","(1800.0, 2000.0]",4
"(8.0, 12.0]","(-0.001, 0.5]","(-0.001, 200.0]",2883
"(8.0, 12.0]","(-0.001, 0.5]","(200.0, 400.0]",1893
"(8.0, 12.0]","(-0.001, 0.5]","(400.0, 600.0]",1788
"(8.0, 12.0]","(-0.001, 0.5]","(600.0, 800.0]",2225
"(8.0, 12.0]","(-0.001, 0.5]","(800.0, 1000.0]",1425
"(8.0, 12.0]","(-0.001, 0.5]","(1000.0, 1200.0]",1651
"(8.0, 12.0]","(-0.001, 0.5]","(1400.0, 1600.0]",219
"(8.0, 12.0]","(-0.001, 0.5]","(1600.0, 1800.0]",511
"(8.0, 12.0]","(-0.001, 0.5]","(1800.0, 2000.0]",167
"(8.0, 12.0]","(0.5, 1.0]","(-0.001, 200.0]",534
"(8.0, 12.0]","(0.5, 1.0]","(200.0, 400.0]",431
"(8.0, 12.0]","(0.5, 1.0]","(400.0, 600.0]",376
"(8.0, 12.0]","(0.5, 1.0]","(600.0, 800.0]",324
"(8.0, 12.0]","(0.5, 1.0]","(800.0, 1000.0]",231
"(8.0, 12.0]","(0.5, 1.0]","(1000.0, 1200.0]",196
"(8.0, 12.0]","(0.5, 1.0]","(1400.0, 1600.0]",20
"(8.0, 12.0]","(0.5, 1.0]","(1600.0, 1800.0]",33
"(8.0, 12.0]","(0.5, 1.0]","(1800.0, 2000.0]",13
"(8.0, 12.0]","(1.0, 1.5]","(-0.001, 200.0]",242
"(8.0, 12.0]","(1.0, 1.5]","(200.0, 400.0]",198
"(8.0, 12.0]","(1.0, 1.5]","(400.0, 600.0]",214
"(8.0, 12.0]","(1.0, 1.5]","(600.0, 800.0]",154
"(8.0, 12.0]","(1.0, 1.5]","(800.0, 1000.0]",92
"(8.0, 12.0]","(1.0, 1.5]","(1000.0, 1200.0]",80
"(8.0, 12.0]","(1.0, 1.5]","(1400.0, 1600.0]",12
"(8.0, 12.0]","(1.0, 1.5]","(1600.0, 1800.0]",9
"(8.0, 12.0]","(1.0, 1.5]","(1800.0, 2000.0]",5
"(8.0, 12.0]","(1.5, 2.0]","(-0.001, 200.0]",329
"(8.0, 12.0]","(1.5, 2.0]","(200.0, 400.0]",262
"(8.0, 12.0]","(1.5, 2.0]","(400.0, 600.0]",237
"(8.0, 12.0]","(1.5, 2.0]","(600.0, 800.0]",187
"(8.0, 12.0]","(1.5, 2.0]","(800.0, 1000.0]",106
"(8.0, 12.0]","(1.5, 2.0]","(1000.0, 1200.0]",95
"(8.0, 12.0]","(1.5, 2.0]","(1400.0, 1600.0]",16
"(8.0, 12.0]","(1.5, 2.0]","(1600.0, 1800.0]",19
"(8.0, 12.0]","(1.5, 2.0]","(1800.0, 2000.0]",9
"(8.0, 12.0]","(2.0, 2.5]","(-0.001, 200.0]",184
"(8.0, 12.0]","(2.0, 2.5]","(200.0, 400.0]",165
"(8.0, 12.0]","(2.0, 2.5]","(400.0, 600.0]",121
"(8.0, 12.0]","(2.0, 2.5]","(600.0, 800.0]",96
"(8.0, 12.0]","(2.0, 2.5]","(800.0, 1000.0]",75
"(8.0, 12.0]","(2.0, 2.5]","(1000.0, 1200.0]",50
"(8.0, 12.0]","(2.0, 2.5]","(1400.0, 1600.0]",4
"(8.0, 12.0]","(2.0, 2.5]","(1600.0, 1800.0]",9
"(8.0, 12.0]","(2.0, 2.5]","(1800.0, 2000.0]",6
"(8.0, 12.0]","(2.5, 3.0]","(-0.001, 200.0]",251
"(8.0, 12.0]","(2.5, 3.0]","(200.0, 400.0]",178
"(8.0, 12.0]","(2.5, 3.0]","(400.0, 600.0]",159
"(8.0, 12.0]","(2.5, 3.0]","(600.0, 800.0]",132
"(8.0, 12.0]","(2.5, 3.0]","(800.0, 1000.0]",70
"(8.0, 12.0]","(2.5, 3.0]","(1000.0, 1200.0]",74
"(8.0, 12.0]","(2.5, 3.0]","(1400.0, 1600.0]",9
"(8.0, 12.0]","(2.5, 3.0]","(1600.0, 1800.0]",24
"(8.0, 12.0]","(2.5, 3.0]","(1800.0, 2000.0]",12
"(8.0, 12.0]","(3.0, 3.5]","(-0.001, 200.0]",149
"(8.0, 12.0]","(3.0, 3.5]","(200.0, 400.0]",124
"(8.0, 12.0]","(3.0, 3.5]","(400.0, 600.0]",84
"(8.0, 12.0]","(3.0, 3.5]","(600.0, 800.0]",75
"(8.0, 12.0]","(3.0, 3.5]","(800.0, 1000.0]",37
"(8.0, 12.0]","(3.0, 3.5]","(1000.0, 1200.0]",37
"(8.0, 12.0]","(3.0, 3.5]","(1400.0, 1600.0]",4
"(8.0, 12.0]","(3.0, 3.5]","(1600.0, 1800.0]",7
"(8.0, 12.0]","(3.0, 3.5]","(1800.0, 2000.0]",7
"(8.0, 12.0]","(3.5, 4.0]","(-0.001, 200.0]",193
"(8.0, 12.0]","(3.5, 4.0]","(200.0, 400.0]",165
"(8.0, 12.0]","(3.5, 4.0]","(400.0, 600.0]",138
"(8.0, 12.0]","(3.5, 4.0]","(600.0, 800.0]",111
"(8.0, 12.0]","(3.5, 4.0]","(800.0, 1000.0]",55
"(8.0, 12.0]","(3.5, 4.0]","(1000.0, 1200.0]",54
"(8.0, 12.0]","(3.5, 4.0]","(1400.0, 1600.0]",5
"(8.0, 12.0]","(3.5, 4.0]","(1600.0, 1800.0]",7
"(8.0, 12.0]","(3.5, 4.0]","(1800.0, 2000.0]",1
"(8.0, 12.0]","(4.0, 4.5]","(-0.001, 200.0]",118
"(8.0, 12.0]","(4.0, 4.5]","(200.0, 400.0]",102
"(8.0, 12.0]","(4.0, 4.5]","(400.0, 600.0]",84
"(8.0, 12.0]","(4.0, 4.5]","(600.0, 800.0]",59
"(8.0, 12.0]","(4.0, 4.5]","(800.0, 1000.0]",44
"(8.0, 12.0]","(4.0, 4.5]","(1000.0, 1200.0]",24
"(8.0, 12.0]","(4.0, 4.5]","(1400.0, 1600.0]",8
"(8.0, 12.0]","(4.0, 4.5]","(1600.0, 1800.0]",4
"(8.0, 12.0]","(4.0, 4.5]","(1800.0, 2000.0]",2
"(8.0, 12.0]","(4.5, 5.0]","(-0.001, 200.0]",183
"(8.0, 12.0]","(4.5, 5.0]","(200.0, 400.0]",149
"(8.0, 12.0]","(4.5, 5.0]","(400.0, 600.0]",100
"(8.0, 12.0]","(4.5, 5.0]","(600.0, 800.0]",72
"(8.0, 12.0]","(4.5, 5.0]","(800.0, 1000.0]",43
"(8.0, 12.0]","(4.5, 5.0]","(1000.0, 1200.0]",45
"(8.0, 12.0]","(4.5, 5.0]","(1400.0, 1600.0]",3
"(8.0, 12.0]","(4.5, 5.0]","(1600.0, 1800.0]",9
"(8.0, 12.0]","(4.5, 5.0]","(1800.0, 2000.0]",1
"(12.0, 16.0]","(-0.001, 0.5]","(-0.001, 200.0]",28085
"(12.0, 16.0]","(-0.001, 0.5]","(200.0, 400.0]",8283
"(12.0, 16.0]","(-0.001, 0.5]","(400.0, 600.0]",3680
"(12.0, 16.0]","(-0.001, 0.5]","(600.0, 800.0]",4734
"(12.0, 16.0]","(-0.001, 0.5]","(800.0, 1000.0]",1878
"(12.0, 16.0]","(-0.001, 0.5]","(1000.0, 1200.0]",2286
"(12.0, 16.0]","(-0.001, 0.5]","(1400.0, 1600.0]",267
"(12.0, 16.0]","(-0.001, 0.5]","(1600.0, 1800.0]",586
"(12.0, 16.0]","(-0.001, 0.5]","(1800.0, 2000.0]",233
"(12.0, 16.0]","(0.5, 1.0]","(-0.001, 200.0]",4529
"(12.0, 16.0]","(0.5, 1.0]","(200.0, 400.0]",1216
"(12.0, 16.0]","(0.5, 1.0]","(400.0, 600.0]",418
"(12.0, 16.0]","(0.5, 1.0]","(600.0, 800.0]",366
"(12.0, 16.0]","(0.5, 1.0]","(800.0, 1000.0]",158
"(12.0, 16.0]","(0.5, 1.0]","(1000.0, 1200.0]",157
"(12.0, 16.0]","(0.5, 1.0]","(1400.0, 1600.0]",14
"(12.0, 16.0]","(0.5, 1.0]","(1600.0, 1800.0]",31
"(12.0, 16.0]","(0.5, 1.0]","(1800.0, 2000.0]",10
"(12.0, 16.0]","(1.0, 1.5]","(-0.001, 200.0]",2203
"(12.0, 16.0]","(1.0, 1.5]","(200.0, 400.0]",569
"(12.0, 16.0]","(1.0, 1.5]","(400.0, 600.0]",217
"(12.0, 16.0]","(1.0, 1.5]","(600.0, 800.0]",157
"(12.0, 16.0]","(1.0, 1.5]","(800.0, 1000.0]",80
"(12.0, 16.0]","(1.0, 1.5]","(1000.0, 1200.0]",58
"(12.0, 16.0]","(1.0, 1.5]","(1400.0, 1600.0]",4
"(12.0, 16.0]","(1.0, 1.5]","(1600.0, 1800.0]",19
"(12.0, 16.0]","(1.0, 1.5]","(1800.0, 2000.0]",6
"(12.0, 16.0]","(1.5, 2.0]","(-0.001, 200.0]",2588
"(12.0, 16.0]","(1.5, 2.0]","(200.0, 400.0]",704
"(12.0, 16.0]","(1.5, 2.0]","(400.0, 600.0]",209
"(12.0, 16.0]","(1.5, 2.0]","(600.0, 800.0]",171
"(12.0, 16.0]","(1.5, 2.0]","(800.0, 1000.0]",79
"(12.0, 16.0]","(1.5, 2.0]","(1000.0, 1200.0]",75
"(12.0, 16.0]","(1.5, 2.0]","(1400.0, 1600.0]",14
"(12.0, 16.0]","(1.5, 2.0]","(1600.0, 1800.0]",15
"(12.0, 16.0]","(1.5, 2.0]","(1800.0, 2000.0]",10
"(12.0, 16.0]","(2.0, 2.5]","(-0.001, 200.0]",1409
"(12.0, 16.0]","(2.0, 2.5]","(200.0, 400.0]",340
"(12.0, 16.0]","(2.0, 2.5]","(400.0, 600.0]",129
"(12.0, 16.0]","(2.0, 2.5]","(600.0, 800.0]",84
"(12.0, 16.0]","(2.0, 2.5]","(800.0, 1000.0]",42
"(12.0, 16.0]","(2.0, 2.5]","(1000.0, 1200.0]",38
"(12.0, 16.0]","(2.0, 2.5]","(1400.0, 1600.0]",5
"(12.0, 16.0]","(2.0, 2.5]","(1600.0, 1800.0]",4
"(12.0, 16.0]","(2.0, 2.5]","(1800.0, 2000.0]",2
"(12.0, 16.0]","(2.5, 3.0]","(-0.001, 200.0]",1813
"(12.0, 16.0]","(2.5, 3.0]","(200.0, 400.0]",425
"(12.0, 16.0]","(2.5, 3.0]","(400.0, 600.0]",168
"(12.0, 16.0]","(2.5, 3.0]","(600.0, 800.0]",134
"(12.0, 16.0]","(2.5, 3.0]","(800.0, 1000.0]",51
"(12.0, 16.0]","(2.5, 3.0]","(1000.0, 1200.0]",53
"(12.0, 16.0]","(2.5, 3.0]","(1400.0, 1600.0]",4
"(12.0, 16.0]","(2.5, 3.0]","(1600.0, 1800.0]",11
"(12.0, 16.0]","(2.5, 3.0]","(1800.0, 2000.0]",7
"(12.0, 16.0]","(3.0, 3.5]","(-0.001, 200.0]",994
"(12.0, 16.0]","(3.0, 3.5]","(200.0, 400.0]",288
"(12.0, 16.0]","(3.0, 3.5]","(400.0, 600.0]",94
"(12.0, 16.0]","(3.0, 3.5]","(600.0, 800.0]",71
"(12.0, 16.0]","(3.0, 3.5]","(800.0, 1000.0]",28
"(12.0, 16.0]","(3.0, 3.5]","(1000.0, 1200.0]",26
"(12.0, 16.0]","(3.0, 3.5]","(1400.0, 1600.0]",3
"(12.0, 16.0]","(3.0, 3.5]","(1600.0, 1800.0]",7
"(12.0, 16.0]","(3.0, 3.5]","(1800.0, 2000.0]",1
"(12.0, 16.0]","(3.5, 4.0]","(-0.001, 200.0]",1355
"(12.0, 16.0]","(3.5, 4.0]","(200.0, 400.0]",324
"(12.0, 16.0]","(3.5, 4.0]","(400.0, 600.0]",111
"(12.0, 16.0]","(3.5, 4.0]","(600.0, 800.0]",102
"(12.0, 16.0]","(3.5, 4.0]","(800.0, 1000.0]",35
"(12.0, 16.0]","(3.5, 4.0]","(1000.0, 1200.0]",43
"(12.0, 16.0]","(3.5, 4.0]","(1400.0, 1600.0]",2
"(12.0, 16.0]","(3.5, 4.0]","(1600.0, 1800.0]",10
"(12.0, 16.0]","(3.5, 4.0]","(1800.0, 2000.0]",4
"(12.0, 16.0]","(4.0, 4.5]","(-0.001, 200.0]",829
"(12.0, 16.0]","(4.0, 4.5]","(200.0, 400.0]",198
"(12.0, 16.0]","(4.0, 4.5]","(400.0, 600.0]",60
"(12.0, 16.0]","(4.0, 4.5]","(600.0, 800.0]",50
"(12.0, 16.0]","(4.0, 4.5]","(800.0, 1000.0]",22
"(12.0, 16.0]","(4.0, 4.5]","(1000.0, 1200.0]",20
"(12.0, 16.0]","(4.0, 4.5]","(1400.0, 1600.0]",2
"(12.0, 16.0]","(4.0, 4.5]","(1600.0, 1800.0]",6
"(12.0, 16.0]","(4.0, 4.5]","(1800.0, 2000.0]",2
"(12.0, 16.0]","(4.5, 5.0]","(-0.001, 200.0]",1038
"(12.0, 16.0]","(4.5, 5.0]","(200.0, 400.0]",265
"(12.0, 16.0]","(4.5, 5.0]","(400.0, 600.0]",101
"(12.0, 16.0]","(4.5, 5.0]","(600.0, 800.0]",85
"(12.0, 16.0]","(4.5, 5.0]","(800.0, 1000.0]",21
"(12.0, 16.0]","(4.5, 5.0]","(1000.0, 1200.0]",35
"(12.0, 16.0]","(4.5, 5.0]","(1400.0, 1600.0]",2
"(12.0, 16.0]","(4.5, 5.0]","(1600.0, 1800.0]",10
"(12.0, 16.0]","(4.5, 5.0]","(1800.0, 2000.0]",3
"(16.0, 20.0]","(-0.001, 0.5]","(-0.001, 200.0]",55008
"(16.0, 20.0]","(-0.001, 0.5]","(200.0, 400.0]",13385
"(16.0, 20.0]","(-0.001, 0.5]","(400.0, 600.0]",4875
"(16.0, 20.0]","(-0.001, 0.5]","(600.0, 800.0]",5467
"(16.0, 20.0]","(-0.001, 0.5]","(800.0, 1000.0]",1918
"(16.0, 20.0]","(-0.001, 0.5]","(1000.0, 1200.0]",2383
"(16.0, 20.0]","(-0.001, 0.5]","(1400.0, 1600.0]",242
"(16.0, 20.0]","(-0.001, 0.5]","(1600.0, 1800.0]",597
"(16.0, 20.0]","(-0.001, 0.5]","(1800.0, 2000.0]",177
"(16.0, 20.0]","(0.5, 1.0]","(-0.001, 200.0]",4995
"(16.0, 20.0]","(0.5, 1.0]","(200.0, 400.0]",1025
"(16.0, 20.0]","(0.5, 1.0]","(400.0, 600.0]",308
"(16.0, 20.0]","(0.5, 1.0]","(600.0, 800.0]",317
"(16.0, 20.0]","(0.5, 1.0]","(800.0, 1000.0]",126
"(16.0, 20.0]","(0.5, 1.0]","(1000.0, 1200.0]",123
"(16.0, 20.0]","(0.5, 1.0]","(1400.0, 1600.0]",14
"(16.0, 20.0]","(0.5, 1.0]","(1600.0, 1800.0]",22
"(16.0, 20.0]","(0.5, 1.0]","(1800.0, 2000.0]",7
"(16.0, 20.0]","(1.0, 1.5]","(-0.001, 200.0]",2257
"(16.0, 20.0]","(1.0, 1.5]","(200.0, 400.0]",406
"(16.0, 20.0]","(1.0, 1.5]","(400.0, 600.0]",132
"(16.0, 20.0]","(1.0, 1.5]","(600.0, 800.0]",138
"(16.0, 20.0]","(1.0, 1.5]","(800.0, 1000.0]",39
"(16.0, 20.0]","(1.0, 1.5]","(1000.0, 1200.0]",48
"(16.0, 20.0]","(1.0, 1.5]","(1400.0, 1600.0]",8
"(16.0, 20.0]","(1.0, 1.5]","(1600.0, 1800.0]",9
"(16.0, 20.0]","(1.0, 1.5]","(1800.0, 2000.0]",3
"(16.0, 20.0]","(1.5, 2.0]","(-0.001, 200.0]",2428
"(16.0, 20.0]","(1.5, 2.0]","(200.0, 400.0]",504
"(16.0, 20.0]","(1.5, 2.0]","(400.0, 600.0]",165
"(16.0, 20.0]","(1.5, 2.0]","(600.0, 800.0]",170
"(16.0, 20.0]","(1.5, 2.0]","(800.0, 1000.0]",76
"(16.0, 20.0]","(1.5, 2.0]","(1000.0, 1200.0]",72
"(16.0, 20.0]","(1.5, 2.0]","(1400.0, 1600.0]",5
"(16.0, 20.0]","(1.5, 2.0]","(1600.0, 1800.0]",11
"(16.0, 20.0]","(1.5, 2.0]","(1800.0, 2000.0]",3
"(16.0, 20.0]","(2.0, 2.5]","(-0.001, 200.0]",1279
"(16.0, 20.0]","(2.0, 2.5]","(200.0, 400.0]",279
"(16.0, 20.0]","(2.0, 2.5]","(400.0, 600.0]",87
"(16.0, 20.0]","(2.0, 2.5]","(600.0, 800.0]",79
"(16.0, 20.0]","(2.0, 2.5]","(800.0, 1000.0]",26
"(16.0, 20.0]","(2.0, 2.5]","(1000.0, 1200.0]",46
"(16.0, 20.0]","(2.0, 2.5]","(1400.0, 1600.0]",1
